chr	labels	FRI	GNM	std(fri)	std(gnm)	prediction
chr8	0	0.435618	1e-06	-0.984767	-0.297746	0.0035778284
chr16	0	0.314987	1e-06	-1.703748	-0.387933	0.0008955598
chr16	0	0.499932	2e-06	-0.37782	-0.363549	0.0039082468
chr7	0	0.406791	1e-06	-1.348781	-0.334154	0.03431782
chr10	0	0.405212	2e-06	-0.962502	-0.307205	0.011768401
chr11	0	0.367965	1e-06	-1.33597	-0.360989	0.0037578344
chr1	0	0.484842	1e-06	-0.751945	-0.485546	0.0057839453
chr6	0	0.512282	2e-06	-0.430832	-0.298252	0.666715
chr10	0	0.431957	1e-06	-0.719098	-0.350029	0.014341623
chr14	0	0.342572	1e-06	-1.409423	-0.417507	4.5984983e-05
chr20	0	0.384914	2e-06	-0.757326	-0.444505	0.0005120039
chr7	0	0.375996	1e-06	-1.573624	-0.334154	0.001135081
chr7	0	0.412956	1e-06	-1.303769	-0.334154	0.018182069
chr14	0	0.361905	1e-06	-1.291573	-0.417507	0.0017485917
chr3	0	0.286273	1e-06	-2.119517	-0.245352	0.032259107
chr5	0	0.479589	1e-06	-0.824742	-0.289197	0.28581282
chr3	0	0.399443	1e-06	-1.172359	-0.245352	0.0017736256
chr1	0	0.447229	1e-06	-1.019888	-0.485546	0.00012671947
chrX	0	0.606253	2e-06	-0.838152	-0.232933	0.0035195053
chr14	0	0.505556	2e-06	-0.415899	-0.389401	0.00088977814
chr9	0	0.3993	1e-06	-1.621089	-0.337721	8.6039305e-05
chrX	0	0.686491	1e-06	-0.148348	-0.25951	0.49667138
chr12	0	0.512854	5e-06	-0.089385	-0.249112	0.056322217
chr8	0	0.491501	1e-06	-0.552016	-0.297746	0.5083858
chr1	0	0.356338	1e-06	-1.667369	-0.485546	0.00013270974
chrX	0	0.55538	1e-06	-1.275505	-0.25951	0.0044882596
chr1	0	0.440154	1e-06	-1.070289	-0.485546	0.020454705
chr1	0	0.392195	1e-06	-1.411934	-0.485546	0.25526154
chr6	0	0.381807	1e-06	-1.424183	-0.335257	0.00022152066
chr3	0	0.400623	1e-06	-1.162483	-0.245352	0.00271675
chr6	0	0.419595	1e-06	-1.13649	-0.335257	0.00062838197
chr7	0	0.423604	1e-06	-1.226025	-0.334154	0.0027940273
chr8	0	0.462025	1e-06	-0.780274	-0.297746	0.006590992
chr21	0	0.6304	1e-06	-0.917308	-0.348593	0.00073570013
chr4	0	0.606891	1e-06	-0.727994	-0.217578	0.0013063848
chr3	0	0.51598	1e-06	-0.197021	-0.245352	0.061006755
chr10	0	0.361569	1e-06	-1.359694	-0.350029	0.043088377
chr10	0	0.340632	1e-06	-1.55024	-0.350029	0.013618559
chr2	0	0.38522	1e-06	-1.342863	-0.40252	0.13589606
chrX	0	0.780493	6e-06	0.659784	-0.126621	0.7039846
chr7	0	0.473879	2e-06	-0.858953	-0.294247	0.0072811246
chrX	0	0.642216	1e-06	-0.528979	-0.25951	0.005377054
chr2	0	0.422504	1e-06	-1.011344	-0.40252	0.0006468892
chr1	0	0.427014	1e-06	-1.163894	-0.485546	0.79214567
chr1	0	0.522673	2e-06	-0.482448	-0.40969	0.11529723
chr9	0	0.441463	1e-06	-1.429062	-0.337721	0.0040088296
chr4	0	0.551001	1e-06	-1.066383	-0.217578	0.014713377
chr17	0	0.321559	2e-06	-1.231231	-0.597282	0.2169443
chr17	0	0.241971	1e-06	-2.002526	-0.649844	0.0023382902
chrX	0	0.562813	2e-06	-1.211604	-0.232933	0.00014311075
chr3	0	0.482269	1e-06	-0.47916	-0.245352	0.005284399
chr13	0	0.42162	1e-06	-1.386998	-0.341006	0.00089749694
chr5	0	0.452014	1e-06	-1.036406	-0.289197	0.56845295
chr4	0	0.508172	1e-06	-1.325693	-0.217578	0.0037837923
chr2	0	0.377845	1e-06	-1.408439	-0.40252	0.004170269
chr4	0	0.601925	1e-06	-0.758061	-0.217578	0.5526919
chr2	0	0.450247	2e-06	-0.764661	-0.325466	0.019996405
chr16	0	0.374202	1e-06	-1.279217	-0.387933	0.023471713
chr13	0	0.495352	1e-06	-0.954981	-0.341006	0.1730501
chr1	0	0.395774	1e-06	-1.386438	-0.485546	0.0003825724
chr1	0	0.362092	1e-06	-1.626379	-0.485546	0.0046786666
chr12	0	0.400775	1e-06	-0.933108	-0.442332	0.02323988
chr2	0	0.442769	1e-06	-0.831153	-0.40252	0.068909794
chr8	0	0.419556	1e-06	-1.109149	-0.297746	0.00012335181
chr3	0	0.302892	1e-06	-1.980427	-0.245352	0.20858759
chrX	0	0.577928	3e-06	-1.081661	-0.206355	0.3114905
chr2	0	0.496951	3e-06	-0.349383	-0.248412	0.035223246
chr4	0	0.58596	2e-06	-0.854722	-0.193043	0.08071363
chr8	0	0.388141	1e-06	-1.352422	-0.297746	0.05467555
chrX	0	0.55238	1e-06	-1.301296	-0.25951	0.30411685
chr1	0	0.344878	1e-06	-1.749006	-0.485546	0.29643187
chr8	0	0.445605	1e-06	-0.907429	-0.297746	0.11380756
chr5	0	0.44468	1e-06	-1.092701	-0.289197	1.2010336e-05
chr4	0	0.475543	1e-06	-1.523247	-0.217578	0.05126697
chr16	0	0.413234	2e-06	-0.999385	-0.363549	0.99166894
chr5	0	0.431223	1e-06	-1.195996	-0.289197	0.00015866756
chr6	0	0.516492	2e-06	-0.398779	-0.298252	0.009529889
chrX	0	0.614399	2e-06	-0.768121	-0.232933	0.07593411
chr3	0	0.416595	1e-06	-1.028808	-0.245352	0.018813968
chr8	0	0.370425	1e-06	-1.489612	-0.297746	0.1442394
chr9	0	0.599588	1e-06	-0.708897	-0.337721	0.6523338
chrX	0	0.59483	1e-06	-0.936355	-0.25951	0.11803347
chr1	0	0.375066	2e-06	-1.533956	-0.40969	0.75001097
chr1	0	0.372825	1e-06	-1.54992	-0.485546	0.00662905
chr4	0	0.54377	1e-06	-1.110163	-0.217578	6.350875e-05
chr4	0	0.56065	2e-06	-1.007963	-0.193043	0.00015640259
chr2	0	0.442256	1e-06	-0.835715	-0.40252	0.08523604
chr5	0	0.473031	1e-06	-0.875081	-0.289197	0.19981349
chr4	0	0.592027	2e-06	-0.817989	-0.193043	7.477403e-05
chr4	0	0.566189	2e-06	-0.974426	-0.193043	0.011267543
chr1	0	0.326019	1e-06	-1.883352	-0.485546	0.3928869
chr7	0	0.418488	1e-06	-1.263378	-0.334154	0.08675593
chr2	0	0.429612	1e-06	-0.948142	-0.40252	0.24681836
chr8	0	0.485646	1e-06	-0.597356	-0.297746	0.0002811551
chr11	0	0.354372	1e-06	-1.445799	-0.360989	0.0029340982
