chr	labels	FRI	GNM	std(fri)	std(gnm)	prediction
chr8	0	0.435618	1e-06	-0.984767	-0.297746	0.13593057
chr16	0	0.314987	1e-06	-1.703748	-0.387933	0.005015075
chr16	0	0.499932	2e-06	-0.37782	-0.363549	0.2339051
chr7	0	0.406791	1e-06	-1.348781	-0.334154	0.015564084
chr10	0	0.405212	2e-06	-0.962502	-0.307205	0.014884323
chr11	0	0.367965	1e-06	-1.33597	-0.360989	0.21315145
chr1	0	0.484842	1e-06	-0.751945	-0.485546	0.012559414
chr6	0	0.512282	2e-06	-0.430832	-0.298252	0.54572797
chr10	0	0.431957	1e-06	-0.719098	-0.350029	0.0105988085
chr14	0	0.342572	1e-06	-1.409423	-0.417507	0.0016826391
chr20	0	0.384914	2e-06	-0.757326	-0.444505	0.07317883
chr7	0	0.375996	1e-06	-1.573624	-0.334154	0.018953562
chr7	0	0.412956	1e-06	-1.303769	-0.334154	0.0899407
chr14	0	0.361905	1e-06	-1.291573	-0.417507	0.018774182
chr3	0	0.286273	1e-06	-2.119517	-0.245352	0.027942717
chr5	0	0.479589	1e-06	-0.824742	-0.289197	0.031739622
chr3	0	0.399443	1e-06	-1.172359	-0.245352	0.0037195385
chr1	0	0.447229	1e-06	-1.019888	-0.485546	0.1541929
chrX	0	0.606253	2e-06	-0.838152	-0.232933	0.14770475
chr14	0	0.505556	2e-06	-0.415899	-0.389401	0.0077108443
chr9	0	0.3993	1e-06	-1.621089	-0.337721	0.021551251
chrX	0	0.686491	1e-06	-0.148348	-0.25951	0.28448853
chr12	0	0.512854	5e-06	-0.089385	-0.249112	0.28195572
chr8	0	0.491501	1e-06	-0.552016	-0.297746	0.28853852
chr1	0	0.356338	1e-06	-1.667369	-0.485546	0.026785254
chrX	0	0.55538	1e-06	-1.275505	-0.25951	0.014733434
chr1	0	0.440154	1e-06	-1.070289	-0.485546	0.007495761
chr1	0	0.392195	1e-06	-1.411934	-0.485546	0.55478716
chr6	0	0.381807	1e-06	-1.424183	-0.335257	0.007985264
chr3	0	0.400623	1e-06	-1.162483	-0.245352	0.008923233
chr6	0	0.419595	1e-06	-1.13649	-0.335257	0.03303221
chr7	0	0.423604	1e-06	-1.226025	-0.334154	0.20881197
chr8	0	0.462025	1e-06	-0.780274	-0.297746	0.013400853
chr21	0	0.6304	1e-06	-0.917308	-0.348593	0.030738175
chr4	0	0.606891	1e-06	-0.727994	-0.217578	0.022374958
chr3	0	0.51598	1e-06	-0.197021	-0.245352	0.21619993
chr10	0	0.361569	1e-06	-1.359694	-0.350029	0.03409475
chr10	0	0.340632	1e-06	-1.55024	-0.350029	0.019244105
chr2	0	0.38522	1e-06	-1.342863	-0.40252	0.63531566
chrX	0	0.780493	6e-06	0.659784	-0.126621	0.12335163
chr7	0	0.473879	2e-06	-0.858953	-0.294247	0.26670346
chrX	0	0.642216	1e-06	-0.528979	-0.25951	0.007288933
chr2	0	0.422504	1e-06	-1.011344	-0.40252	0.0043432713
chr1	0	0.427014	1e-06	-1.163894	-0.485546	0.44384354
chr1	0	0.522673	2e-06	-0.482448	-0.40969	0.7077843
chr9	0	0.441463	1e-06	-1.429062	-0.337721	0.032785267
chr4	0	0.551001	1e-06	-1.066383	-0.217578	0.007208377
chr17	0	0.321559	2e-06	-1.231231	-0.597282	0.32719803
chr17	0	0.241971	1e-06	-2.002526	-0.649844	0.06818676
chrX	0	0.562813	2e-06	-1.211604	-0.232933	0.0031327605
chr3	0	0.482269	1e-06	-0.47916	-0.245352	0.08528754
chr13	0	0.42162	1e-06	-1.386998	-0.341006	0.002160877
chr5	0	0.452014	1e-06	-1.036406	-0.289197	0.04934302
chr4	0	0.508172	1e-06	-1.325693	-0.217578	0.01213643
chr2	0	0.377845	1e-06	-1.408439	-0.40252	0.060715795
chr4	0	0.601925	1e-06	-0.758061	-0.217578	0.009489447
